cod_ibge,pop_total,pop_urbana_pct,perc_jovens_15_29,renda_per_capita,taxa_desemprego,taxa_analfabetismo_15,perc_esgoto_adequado,gini,idhm,idhm_renda,idhm_longevidade,idhm_educacao,perc_pobres,pib_per_capita,densidade_demografica,taxa_homicidios,alta_violencia
1100015,21494.0,60.3471,22.2108,1210.6,1.6919,9.33,0.4678,0.58,0.641,0.657,0.763,0.526,26.04,34170.79184888806,3.0414056518299444,9.304922303898763,0
1100023,96833.0,86.6977,24.9894,1458.57,2.8638,6.25,1.9932,0.53,0.702,0.716,0.806,0.6,11.54,33163.21915049622,21.877512769018082,12.392469509361478,1
1100031,5351.0,53.1863,17.4173,1323.79,1.6309,10.62,1.576,0.51,0.65,0.65,0.757,0.559,21.2,44555.03644178658,4.0712077130023,37.376191366099796,1
1100049,86887.0,82.7592,24.2637,1625.88,2.1154,5.93,67.1899,0.57,0.718,0.727,0.821,0.62,13.08,32139.51454187623,22.90719746902188,8.056441124679182,0
1100056,15890.0,88.8357,21.9509,1554.33,1.4391,7.49,57.9942,0.5,0.692,0.688,0.799,0.602,13.7,46762.86972938955,5.709056561337148,18.879798615481434,1
1100064,15663.0,74.7558,20.5197,1666.54,1.7253,9.71,2.6206,0.49,0.685,0.676,0.814,0.584,15.76,27124.177999106174,10.79415573272835,19.15341888527102,1
1100072,7519.0,36.973,20.641,1234.62,4.0856,9.22,0.7042,0.48,0.613,0.63,0.774,0.473,24.02,52764.99534512568,2.4569318055197478,0.0,0
1100080,12627.0,52.8233,24.6535,1088.06,4.3431,5.09,0.0481,0.52,0.611,0.616,0.751,0.493,30.48,25078.95778886513,2.531893293540614,31.678149996040233,1
1100098,29414.0,72.9313,22.7409,1371.66,1.9445,7.81,6.5998,0.52,0.672,0.691,0.819,0.536,13.86,26292.649758618347,6.510348075868331,23.798191337458352,1
1100106,39387.0,80.5773,24.2821,1035.94,5.6693,5.59,9.0147,0.54,0.657,0.663,0.823,0.519,23.47,26766.572727041916,1.5845514301736296,12.694543885038211,1
1100114,50591.0,78.684,23.5971,1406.29,2.3258,7.81,1.7839,0.49,0.689,0.687,0.825,0.577,13.78,34882.054120298075,17.183625778665416,9.883180802909608,0
1100122,124333.0,90.8713,23.6655,1437.55,3.6996,5.33,7.5662,0.53,0.714,0.728,0.81,0.617,8.56,34024.39416727659,18.02803071462677,41.823168426725005,1
1100130,30707.0,54.1701,22.4346,1047.39,3.0669,9.12,3.127,0.55,0.596,0.629,0.755,0.446,28.55,28994.0078809392,3.608652681134809,35.822450906959325,1
1100148,15679.0,46.6165,22.055,981.78,5.6259,9.85,7.0024,0.56,0.643,0.664,0.763,0.524,23.16,35069.39218062376,9.206650820195794,63.7795777791951,1
1100155,35044.0,79.0463,21.4102,1389.04,1.8909,7.07,2.2292,0.48,0.682,0.687,0.812,0.569,11.73,28137.370163223375,17.789925167992553,28.535555301906175,1
1100189,35079.0,81.8438,23.7008,1389.7,2.1381,6.67,9.4405,0.54,0.71,0.726,0.803,0.613,9.33,46826.33484420879,5.620716745134088,17.104250406225948,1
1100205,460434.0,92.5863,24.6218,1459.81,5.7926,4.5,22.9887,0.56,0.736,0.764,0.819,0.638,7.95,43559.20283906054,13.50597014251149,38.007618898691234,1
1100254,19327.0,64.0606,19.941,1164.63,1.9139,8.01,5.2144,0.53,0.664,0.671,0.792,0.55,19.39,28985.87468308584,10.990842007570244,20.69643503906452,1
1100262,3471.0,41.429,21.3483,1244.38,2.4422,6.54,1.28,0.58,0.643,0.637,0.813,0.513,28.5,53133.96715643907,2.0207959758738734,0.0,0
1100288,56406.0,83.7925,23.6251,1446.88,3.4807,5.66,3.6206,0.53,0.7,0.709,0.808,0.598,10.77,27749.547920433997,38.69223192016529,24.82005460412013,1
1100296,7419.0,43.8873,18.7492,1110.56,1.6325,10.4,2.8644,0.49,0.67,0.657,0.812,0.564,16.49,28789.59428494406,6.19387608574415,0.0,0
1100304,95832.0,94.2326,24.0431,1650.51,2.62,4.81,4.9121,0.5,0.731,0.734,0.808,0.659,6.37,43987.83287419651,8.184767767292684,35.47875448701895,1
1100320,21635.0,55.2854,23.4527,1303.07,1.7743,7.26,1.8138,0.62,0.646,0.644,0.781,0.537,33.34,41846.12895770742,3.1864887574461256,36.97712040674833,1
1100338,25444.0,57.8486,24.3397,1152.19,2.4726,8.88,0.8169,0.52,0.587,0.619,0.769,0.424,28.2,29189.04260336425,2.526590066620393,43.232196195566736,1
1100346,13117.0,59.0836,20.6983,1223.18,5.6593,11.97,42.5218,0.53,0.643,0.654,0.763,0.534,23.63,26883.433711976824,4.330201912128956,22.871083326980255,1
1100379,11479.0,43.4358,21.7441,1173.26,4.7427,8.93,0.6194,0.54,0.592,0.603,0.777,0.443,33.84,42135.377646136425,2.900002096874066,8.711560240439063,0
1100403,16320.0,49.9877,23.0392,1185.26,2.5049,8.04,0.1388,0.54,0.625,0.664,0.804,0.457,18.03,31295.343137254902,6.15386703801031,49.01960784313725,1
1100452,27992.0,69.3555,23.9175,1219.49,2.997,7.14,0.4543,0.5,0.616,0.65,0.751,0.479,20.83,34529.72277793656,8.571227352479172,25.00714489854244,1
1100502,7667.0,43.159,19.8904,1102.33,4.4202,10.12,0.3217,0.51,0.634,0.606,0.799,0.527,32.25,30194.469805660625,9.090089940553396,39.12873353332464,1
1100601,4150.0,46.5542,20.506,1187.1,2.7121,11.34,32.9737,0.56,0.646,0.664,0.801,0.506,22.02,66346.50602409638,2.1151605534279363,0.0,0
1100700,8844.0,30.8797,21.8453,1004.63,2.4963,7.94,0.2609,0.67,0.593,0.667,0.772,0.404,31.24,41737.562189054726,2.5694326417306192,11.307100859339664,0
1100809,22310.0,76.4635,24.3882,927.05,9.3031,6.7,1.1977,0.47,0.649,0.652,0.819,0.512,15.8,29384.536082474227,3.2599453539057173,49.30524428507396,1
1100908,3233.0,23.7241,18.837,1163.49,3.321,9.49,32.5516,0.5,0.658,0.65,0.803,0.547,21.08,30815.651098051345,3.621025468140464,0.0,0
1100924,9324.0,56.864,24.0776,1275.25,1.1306,7.31,0.8734,0.47,0.652,0.659,0.82,0.514,16.12,50278.09952809953,1.822058159689992,42.9000429000429,1
1100940,14863.0,65.4175,23.683,1152.39,3.1502,7.05,0.1153,0.52,0.612,0.663,0.789,0.439,19.56,32816.79337953307,3.8465858477318267,33.64058400053825,1
1101005,8001.0,31.7835,21.0224,943.98,3.3798,9.27,0.0346,0.55,0.596,0.627,0.762,0.444,27.2,29912.635920509936,1.578921194841362,24.996875390576175,1
