cod_ibge,pop_total,pop_urbana_pct,perc_jovens_15_29,renda_per_capita,taxa_desemprego,taxa_analfabetismo_15,perc_esgoto_adequado
1100015,21494.0,60.3471,22.2108,1210.6,1.6919,9.33,0.4678
1100023,96833.0,86.6977,24.9894,1458.57,2.8638,6.25,1.9932
1100031,5351.0,53.1863,17.4173,1323.79,1.6309,10.62,1.576
1100049,86887.0,82.7592,24.2637,1625.88,2.1154,5.93,67.1899
1100056,15890.0,88.8357,21.9509,1554.33,1.4391,7.49,57.9942
1100064,15663.0,74.7558,20.5197,1666.54,1.7253,9.71,2.6206
1100072,7519.0,36.973,20.641,1234.62,4.0856,9.22,0.7042
1100080,12627.0,52.8233,24.6535,1088.06,4.3431,5.09,0.0481
1100098,29414.0,72.9313,22.7409,1371.66,1.9445,7.81,6.5998
1100106,39387.0,80.5773,24.2821,1035.94,5.6693,5.59,9.0147
1100114,50591.0,78.684,23.5971,1406.29,2.3258,7.81,1.7839
1100122,124333.0,90.8713,23.6655,1437.55,3.6996,5.33,7.5662
1100130,30707.0,54.1701,22.4346,1047.39,3.0669,9.12,3.127
1100148,15679.0,46.6165,22.055,981.78,5.6259,9.85,7.0024
1100155,35044.0,79.0463,21.4102,1389.04,1.8909,7.07,2.2292
1100189,35079.0,81.8438,23.7008,1389.7,2.1381,6.67,9.4405
1100205,460434.0,92.5863,24.6218,1459.81,5.7926,4.5,22.9887
1100254,19327.0,64.0606,19.941,1164.63,1.9139,8.01,5.2144
1100262,3471.0,41.429,21.3483,1244.38,2.4422,6.54,1.28
1100288,56406.0,83.7925,23.6251,1446.88,3.4807,5.66,3.6206
1100296,7419.0,43.8873,18.7492,1110.56,1.6325,10.4,2.8644
1100304,95832.0,94.2326,24.0431,1650.51,2.62,4.81,4.9121
1100320,21635.0,55.2854,23.4527,1303.07,1.7743,7.26,1.8138
1100338,25444.0,57.8486,24.3397,1152.19,2.4726,8.88,0.8169
1100346,13117.0,59.0836,20.6983,1223.18,5.6593,11.97,42.5218
1100379,11479.0,43.4358,21.7441,1173.26,4.7427,8.93,0.6194
1100403,16320.0,49.9877,23.0392,1185.26,2.5049,8.04,0.1388
1100452,27992.0,69.3555,23.9175,1219.49,2.997,7.14,0.4543
1100502,7667.0,43.159,19.8904,1102.33,4.4202,10.12,0.3217
1100601,4150.0,46.5542,20.506,1187.1,2.7121,11.34,32.9737
1100700,8844.0,30.8797,21.8453,1004.63,2.4963,7.94,0.2609
1100809,22310.0,76.4635,24.3882,927.05,9.3031,6.7,1.1977
1100908,3233.0,23.7241,18.837,1163.49,3.321,9.49,
1100924,9324.0,56.864,24.0776,1275.25,1.1306,7.31,0.8734
1100940,14863.0,65.4175,23.683,1152.39,3.1502,7.05,0.1153
1101005,8001.0,31.7835,21.0224,943.98,3.3798,9.27,0.0346
1101104,8548.0,69.2092,22.9644,1014.42,5.2071,8.43,0.5498
1101203,6466.0,45.8552,21.095,1209.48,2.2651,11.25,5.5812
1101302,9235.0,54.0011,21.7325,1199.72,2.8256,11.05,7.7822
1101401,11548.0,45.6096,22.151,1241.8,2.6508,10.33,0.1658
1101435,6200.0,27.2097,21.1613,920.17,2.6049,9.69,0.8969
1101450,4125.0,35.2485,21.6,1014.39,2.717,10.35,4.1161
1101468,2156.0,56.7254,20.7328,911.62,1.7981,8.96,5.2703
1101476,3076.0,45.1886,17.4902,919.32,2.2512,13.59,0.2648
1101484,5258.0,41.1563,17.7824,1362.82,2.2695,9.37,
1101492,16286.0,56.8587,23.6645,1172.03,2.3459,7.39,0.2587
1101500,11171.0,45.5286,23.6416,1027.63,1.9608,6.87,14.528
1101559,4256.0,38.5573,20.4182,1179.05,0.8309,10.2,0.3161
1101609,8113.0,30.7038,18.5628,1102.84,1.1866,10.03,0.2328
1101708,10725.0,51.2541,21.4079,1121.21,4.6977,9.32,3.5949
1101757,7788.0,45.1079,19.9795,1095.38,3.6316,11.34,0.0714
1101807,6479.0,39.3579,20.0957,1218.98,2.1014,9.12,0.0409
1200013,14021.0,55.3812,25.041,880.5,5.8069,10.63,0.8518
1200054,8100.0,59.4815,25.6667,775.86,7.0114,14.62,6.5952
1200104,26000.0,64.4,25.9962,914.18,3.333,11.44,33.4911
1200138,12917.0,46.0014,24.5645,709.71,4.4105,17.67,3.7443
1200179,10392.0,40.6563,24.6247,806.69,1.4622,17.52,1.1246
1200203,91888.0,74.2371,29.1518,905.21,9.1395,11.88,8.5911
1200252,18757.0,68.8863,26.0916,1026.76,3.4533,10.39,4.6627
1200302,35426.0,51.1291,28.7839,610.92,3.7329,20.26,3.3953
1200328,9222.0,39.8395,29.5272,542.04,1.3274,17.59,3.4448
1200336,19294.0,65.9635,27.7599,695.9,2.7108,14.19,1.2857
1200344,11996.0,56.0604,27.9593,622.38,17.7499,22.01,15.4534
1200351,17093.0,34.482,30.9717,516.91,2.8471,20.83,1.7126
1200385,16560.0,64.849,24.6981,992.54,6.7697,15.62,5.8537
1200393,10735.0,46.1202,30.8058,603.27,4.4202,17.63,5.1704
1200401,364756.0,93.494,26.1756,1436.01,5.8892,6.63,68.191
1200427,14938.0,38.0774,29.2676,633.26,9.2681,17.19,1.9299
1200435,6723.0,48.9514,26.625,449.8,0.916,24.29,4.2411
1200450,21454.0,62.2495,24.8625,974.21,5.6381,10.8,0.589
1200500,41343.0,65.1694,28.5828,794.44,4.1119,16.75,17.2408
1200609,43467.0,56.1667,29.634,604.36,6.4987,22.94,2.5282
1200708,18243.0,56.5039,26.6458,898.65,6.0731,13.5,21.3793
1200807,16693.0,56.7004,24.9745,733.17,5.3694,14.58,1.395
1300029,15866.0,55.0233,29.8437,494.91,4.2441,12.52,3.8846
1300060,10819.0,71.8273,27.4609,556.4,6.2476,13.83,1.8553
1300086,9962.0,48.2935,29.5623,559.76,7.1231,11.29,3.3247
1300102,17194.0,63.1034,27.3991,624.85,5.8471,16.25,3.9547
1300144,20647.0,52.9859,24.6331,1009.03,3.1297,9.98,1.0364
1300201,15314.0,51.8023,28.2878,556.2,7.7675,21.22,1.9469
1300300,41564.0,44.7142,26.7106,649.03,3.5655,8.91,7.259
