cod_ibge,gini_2022,perc_pobres_2022
1100015,0.4337,10.2858
1100023,0.4569,7.9164
1100031,0.4166,4.8653
1100049,0.4833,8.8011
1100056,0.4465,6.9873
1100064,0.4615,5.4367
1100072,0.4074,7.5877
1100080,0.4666,12.484
1100098,0.429,7.8
1100106,0.5714,27.8179
1100114,0.4768,10.5587
1100122,0.4613,9.5976
1100130,0.4321,16.0819
1100148,0.4722,20.0332
1100155,0.4691,9.8688
1100189,0.4397,8.4217
1100205,0.5542,16.7736
1100254,0.4768,14.672
1100262,0.4166,8.0453
1100288,0.4344,7.419
1100296,0.42,12.0466
1100304,0.456,7.2729
1100320,0.4451,8.4992
1100338,0.4714,15.011
1100346,0.4754,12.8307
1100379,0.4681,13.1457
1100403,0.4771,14.4346
1100452,0.4178,8.3414
1100502,0.496,17.8814
1100601,0.4353,10.6506
1100700,0.4718,18.4082
1100809,0.445,18.3143
1100908,0.4262,10.6112
1100924,0.4382,9.6639
1100940,0.461,14.8759
1101005,0.5067,24.5951
1101104,0.4253,13.4885
1101203,0.4574,12.3105
1101302,0.4349,9.2474
1101401,0.456,11.5275
1101435,0.459,19.2351
1101450,0.4968,24.9939
1101468,0.4813,23.0987
1101476,0.4723,22.0741
1101484,0.4188,8.3714
1101492,0.4011,8.1969
1101500,0.4725,17.9244
1101559,0.4603,13.6513
1101609,0.4966,14.8034
1101708,0.4575,14.5082
1101757,0.433,11.4858
1101807,0.4429,10.9018
1200013,0.4417,19.1582
1200054,0.5382,35.8626
1200104,0.4912,21.3371
1200138,0.5263,34.443
1200179,0.4387,20.2816
1200203,0.5196,27.3509
1200252,0.5,18.7877
1200302,0.5264,42.3268
1200328,0.5467,52.354
1200336,0.4991,34.1766
1200344,0.4665,34.5534
1200351,0.5027,46.9452
1200385,0.4931,19.378
1200393,0.5079,39.143
1200401,0.5503,16.3464
1200427,0.5139,40.0992
1200435,0.5201,57.7778
1200450,0.4607,17.7067
1200500,0.5422,33.7102
1200609,0.5909,50.2059
1200708,0.497,24.2745
1200807,0.4641,28.6511
1300029,0.4492,42.0404
1300060,0.5384,47.0223
1300086,0.4579,37.427
1300102,0.4781,35.9918
1300144,0.4818,18.5117
1300201,0.5806,51.3985
1300300,0.4853,32.8735
1300409,0.5665,42.3847
1300508,0.4779,41.4466
1300607,0.5575,47.959
1300631,0.5723,45.8017
1300680,0.4416,40.2796
1300706,0.5142,38.0196
1300805,0.5105,42.5297
1300839,0.4953,49.3973
1300904,0.4689,37.1196
1301001,0.5043,42.5527
1301100,0.4937,35.1755
1301159,0.491,36.7348
1301209,0.5211,42.5466
1301308,0.5007,39.1101
1301407,0.5183,43.0494
1301506,0.4997,38.7006
1301605,0.4724,33.1869
1301654,0.4394,33.3551
1301704,0.5224,24.9734
1301803,0.4754,45.666
1301852,0.4749,25.0637
1301902,0.5228,33.3298
1301951,0.5446,48.4835
1302009,0.4862,30.0931
1302108,0.5095,24.9487
1302207,0.5017,45.9502
1302306,0.497,40.0953
1302405,0.4903,37.2191
1302504,0.4953,33.8159
1302553,0.5162,45.9286
1302603,0.5788,20.1444
1302702,0.5175,36.0644
1302801,0.5065,46.4719
1302900,0.4907,47.5205
1303007,0.4953,39.4279
1303106,0.4468,37.7977
1303205,0.5668,37.2473
1303304,0.4817,33.2503
1303403,0.5306,30.023
1303502,0.5452,52.1766
1303536,0.5003,20.7074
1303569,0.4685,24.1996
1303601,0.4736,47.9824
1303700,0.5268,49.7211
1303809,0.5748,47.7218
1303908,0.5228,55.7387
1303957,0.4773,34.0155
1304005,0.4817,42.5761
1304062,0.5393,35.9885
1304104,0.5053,43.836
1304203,0.5229,30.5651
1304237,0.4517,48.877
1304260,0.4644,43.159
1304302,0.4472,27.3448
1304401,0.4606,31.164
1400027,0.6325,52.4678
1400050,0.7161,60.9825
1400100,0.5637,18.1306
1400159,0.5183,41.6859
1400175,0.5284,31.7315
1400209,0.5255,34.1051
1400233,0.4841,20.5947
1400282,0.5183,29.2459
1400308,0.45,21.6076
1400407,0.5292,51.8348
1400456,0.5779,47.4153
1400472,0.5155,27.6598
1400506,0.4814,20.4937
1400605,0.4954,25.7022
1400704,0.4858,70.3185
1500107,0.4845,26.5426
1500131,0.4541,15.6143
1500206,0.4998,42.7388
1500305,0.4924,46.9187
1500347,0.4002,14.249
1500404,0.5091,42.8055
1500503,0.531,31.3137
1500602,0.5196,16.291
1500701,0.5445,49.9553
1500800,0.4957,13.7589
1500859,0.5382,32.1297
1500909,0.5367,52.2657
1500958,0.4689,37.4196
1501006,0.5108,51.1078
1501105,0.51,63.2761
1501204,0.5232,49.5388
1501253,0.4716,18.6623
1501303,0.483,19.6588
1501402,0.5908,14.8799
1501451,0.5115,32.6021
1501501,0.453,21.8052
1501576,0.4662,20.6115
1501600,0.4272,20.2112
1501709,0.5045,27.0294
1501725,0.5062,28.6541
1501758,0.4692,23.9971
1501782,0.4672,25.4725
1501808,0.5402,43.3478
1501907,0.4719,44.1427
1501956,0.4879,42.5819
1502004,0.4748,47.1298
1502103,0.5164,41.774
1502152,0.4584,9.5281
1502202,0.4754,17.7163
1502301,0.4659,28.4855
1502400,0.5096,17.7664
1502509,0.4965,38.8663
1502608,0.5093,37.5399
1502707,0.488,17.4334
1502756,0.4526,27.4618
1502764,0.5335,27.0019
1502772,0.4565,14.5363
1502806,0.5346,57.6858
1502855,0.4676,39.111
1502905,0.5117,41.4988
1502939,0.4325,18.8517
1502954,0.49,20.8372
1503002,0.4595,35.9959
1503044,0.5133,25.8911
1503077,0.4893,36.4247
1503093,0.4875,23.4045
1503101,0.5005,36.1845
1503200,0.4952,30.8418
1503309,0.4868,34.0827
1503408,0.4181,27.995
1503457,0.4841,34.9911
1503507,0.4609,34.4406
1503606,0.4684,15.5998
1503705,0.4339,27.2633
1503754,0.5827,38.8519
1503804,0.4674,19.2647
1503903,0.5576,39.6786
1504000,0.5057,51.247
1504059,0.4888,26.0837
1504109,0.5006,36.6741
1504208,0.5044,16.2118
1504307,0.5072,35.8309
1504406,0.5035,39.7402
1504422,0.4643,20.5617
1504455,0.4863,28.746
1504505,0.5317,57.1197
1504604,0.5267,35.4251
1504703,0.4555,31.8637
1504752,0.4206,25.2373
